酷9,#genre#
CCTV-1,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1
CCTV-2,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2
CCTV-3,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3
CCTV-4亚洲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4
CCTV-4欧洲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope/index.shtml
CCTV-4美洲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica
CCTV-5,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5
CCTV-5+,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus
CCTV-6,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6
CCTV-7,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7
CCTV-8,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8
CCTV-9,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvjilu
CCTV-10,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10
CCTV-11,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11
CCTV-12,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12
CCTV-13,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13
CCTV-14,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild
CCTV-15,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15
CCTV-16,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16
CCTV-17,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17
CCTV4K,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002264
CCTV8K,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600156816
CCTV-1,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV-2,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV-3,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001801
CCTV-4,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV-5,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV-5+,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV-6,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV-7,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV-8,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV-9,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV-10,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV-11,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV-12,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV-13,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV-14,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV-15,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV-16,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV-17,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810
广西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002509
东方卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002520
江苏卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
湖南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002475
北京卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
广东卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002485
陕西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190407
山东卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002513
天津卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600152137
四川卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002516
甘肃卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190408
吉林卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190405
安徽卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002532
江西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002503
西藏卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190403
兵团卫视http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600193252
东南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002484
河北卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002493
河南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002525
青海卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190406
贵州卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002490
重庆卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002531
海南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002506
陕西卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190400
深圳卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002481
湖北卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002508
云南卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190402
新疆卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600152138
宁夏卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190737
辽宁卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002505
内蒙古卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600190401
黑龙江卫视,http://A/ku9/js/webview.js?id=https://yangshipin.cn/tv/home?pid=600002498
广西卫视,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_e7a7ab7df9fe11e88bcfe41f13b60c62.html
广西综艺旅游,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_f3335975f9fe11e88bcfe41f13b60c62.html
广西都市,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_fdbaf085f9fe11e88bcfe41f13b60c62.html
广西影视,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_5e923d82058e11e9ba67e41f13b60c62.html
广西新闻,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_9dfd8600075811e9ba67e41f13b60c62.html
广西国际,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_bfa17b64157f11e999f0e41f13b60c62.html
广西移动电视,http://A/ku9/js/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_78dbfd44e6b74ab687204d2d8113cbf5.html
南宁新闻综合,http://A/ku9/js/webview.js?id=http://www.nntv.cn/live/nntv_xw/
南宁文旅生活,http://A/ku9/js/webview.js?id=http://www.nntv.cn/live/nntv_ds/
南宁影视娱乐,http://A/ku9/js/webview.js?id=http://www.nntv.cn/live/nntv_ys/
南宁公共频道,http://A/ku9/js/webview.js?id=http://www.nntv.cn/live/nntv_gg/
玉林新闻综合,http://A/ku9/js/webview.js?id=https://web.guangdianyun.tv/tv/3289?uin=4042
玉林公共,http://A/ku9/js/webview.js?id=https://web.guangdianyun.tv/tv/3290?uin=4042
北海新闻综合,http://A/ku9/js/webview.js?id=http://www.bhtv.cc/index?path=live
梧州新闻综合,http://A/ku9/js/webview.js?id=https://www.wzrtv.cn/dist/index.html#/live
梧州新闻综合,http://A/ku9/js/webview.js?id=https://www.wzrtv.cn/dist/index.html#/liveTvDetail/22/%E6%96%B0%E9%97%BB%E7%BB%BC%E5%90%88
梧州2,http://A/ku9/js/webview.js?id=https://www.wzrtv.cn/dist/index.html#/liveTvDetail/23/%E5%85%AC%E5%85%B1%E9%A2%91%E9%81%93
梧州3,http://A/ku9/js/webview.js?id=https://www.wzrtv.cn/dist/index.html#/liveTvDetail/15/%E6%95%99%E8%82%B2%E7%94%9F%E6%B4%BB
桂林新闻综合,http://A/ku9/js/webview.js?id=https://guilinbcnew.zainanjing365.com//share/live/detailTv?resourceId=33
桂林2,http://A/ku9/js/webview.js?id=https://guilinbcnew.zainanjing365.com//share/live/detailTv?resourceId=34
桂林3,http://A/ku9/js/webview.js?id=https://guilinbcnew.zainanjing365.com//share/live/detailTv?resourceId=35
贺州综合,http://A/ku9/js/webview.js?id=http://www.gxhzxw.com/index.php/page-view-id-50
来宾综合,http://A/ku9/js/webview.js?id=https://share-laibin.gxlbcloud.com/fhshare/#/live_detail?contentType=4&id=9
北海新闻综合,http://A/ku9/js/webview.js?id=https://share.bhxww.com/app/template/displayTemplate/news/liveDetail/47/36184.html
北海2,http://A/ku9/js/webview.js?id=https://play-a2.quklive.com:443/live/1727311690820146.m3u8
柳州,http://A/ku9/js/webview.js?id=https://web.guangdianyun.tv/tv/?id=1902&uin=3370



皮皮虾,#genre#
CCTV-13,http://8.138.7.223/tv/ptbtv.php?id=28
CCTV-1,http://8.138.7.223/tv/ptbtv.php?id=27
广西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广西卫视
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视
浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视
江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视
湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视
凤凰中文,http://124.95.180.107:6718/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://203.205.191.53/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://124.95.180.107:6718/1.v.smtcdns.net/qitv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://203.205.191.53/qctv.fengshows.cn/live/0701pin72.flv
CTI,https://k44991.kylintv.tv/live/cti_iphone.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
Wion,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
France 24,https://live.france24.com/hls/live/2037218/F24_EN_HI_HLS/master_5000.m3u8
BBC World News,https://haoyunlai.serv00.net/Smartv-1.php?id=bbcnews_twn
RT,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8
Al Jazeera,https://live-hls-v3-aje.getaj.net/AJE-V3/index.m3u8
Al Jazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
Global News,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8
Red Bull,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Formosa TV 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Bloomberg,https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8
Bloomberg 4K,https://bloomberg-bloombergtv-3-nl.samsung.wurl.tv/playlist.m3u8



广西移动,#genre#
CCTV-1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225934/index.m3u8?servicetype=1
CCTV-1,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1
CCTV-2,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225948/index.m3u8?servicetype=1
CCTV-2,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1
CCTV-3,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225916/index.m3u8?servicetype=1
CCTV-3,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1
CCTV-4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225922/index.m3u8?servicetype=1
CCTV-4,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1
CCTV-5,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1
CCTV-5,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225925/index.m3u8?servicetype=1
CCTV-5,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1
CCTV5+,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225998/index.m3u8?servicetype=1
CCTV5+,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1
CCTV-6,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225936/index.m3u8?servicetype=1
CCTV-6,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1
CCTV-7,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225892/index.m3u8?servicetype=1
CCTV-7,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1
CCTV-8,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226001/index.m3u8?servicetype=1
CCTV-8,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225939/index.m3u8?servicetype=1
CCTV-9,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1
CCTV-10,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226004/index.m3u8?servicetype=1
CCTV-10,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225704/index.m3u8?servicetype=1
CCTV-11,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225895/index.m3u8?servicetype=1
CCTV-11,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225739/index.m3u8?servicetype=1
CCTV-12,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226013/index.m3u8?servicetype=1
CCTV-12,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225645/index.m3u8?servicetype=1
CCTV-13,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226046/index.m3u8?servicetype=1
CCTV-13,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225742/index.m3u8?servicetype=1
CCTV-14,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225901/index.m3u8?servicetype=1
CCTV-14,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225648/index.m3u8?servicetype=1
CCTV-15,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225945/index.m3u8?servicetype=1
CCTV-15,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225693/index.m3u8?servicetype=1
CCTV-16,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225937/index.m3u8?servicetype=1
CCTV-16,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225956/index.m3u8?servicetype=1
CCTV-17,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225910/index.m3u8?servicetype=1
CCTV-17,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225766/index.m3u8?servicetype=1
纯享4K,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225726/index.m3u8?servicetype=1
广西卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225767/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225942/index.m3u8?servicetype=1
东方卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225718/index.m3u8?servicetype=1
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225928/index.m3u8?servicetype=1
浙江卫视,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225731/index.m3u8?servicetype=1
